Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Views,TikTok Views
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,390470936.0,84274754.0,5332281936.0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,323703884.0,116347040.0,208339025.0
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,601309283.0,122599116.0,3369120610.0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,2031280633.0,1096100899.0,14603725994.0
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,670665438.0,131148091.0,2938686633.0
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,900158751.0,308723145.0,534915313.0
Gata Only,Gata Only,FloyyMenor,2/2/2024,675079153.0,228382568.0,3804584163.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,90676573.0,32735244.0,974656200.0
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,250080413.0,32229063.0,2100000.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,221636195.0,40022524.0,360017000.0
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,297185.0,6736502312.0,22234.0
LALA,LALA - Single,Myke Towers,3/22/2023,925655569.0,934302031.0,7499234052.0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,395433400.0,104673836.0,207317000.0
greedy,greedy,Tate McRae,9/14/2023,1258569694.0,141646818.0,5456156211.0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,91272461.0,16038053.0,1225345800.0
As It Was,As It Was,Harry Styles,3/31/2022,3301814535.0,800899315.0,15405881843.0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,1065399331.0,240970670.0,7095564106.0
Espresso,Espresso,Sabrina Carpenter,4/12/2024,547882871.0,107550212.0,1379499000.0
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,426700979.0,35724356.0,6518604175.0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,7382759.0,4233958.0,22918660728.0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,3107100349.0,1256973582.0,23712377029.0
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,720822868.0,16322756555.0,6577639193.0
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,124893397.0,359896095.0,390081328.0
Water,Water,Tyla,7/28/2023,670376179.0,265180930.0,3932956380.0
Strangers,Strangers,Kenya Grace,9/1/2023,750154960.0,118208096.0,2231749390.0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,311928522.0,62694868.0,378313942.0
Lose Control,Lose Control,Teddy Swims,6/23/2023,775135157.0,139180960.0,597513595.0
fukumean,fukumean,Gunna,6/15/2023,759998727.0,94699547.0,3281790327.0
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,3071214106.0,3366447481.0,5861939942.0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,214237645.0,11033725.0,443104700.0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,170970614.0,22280037.0,12196985599.0
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,1658229422.0,466080689.0,1051836430.0
Daylight,Daylight,David Kushner,4/14/2023,1126820069.0,274070101.0,2578518632.0
